customer_key,location_key,product_key,time_key,quantity,subtotal
1,3,10003746,20220420,3,2690.97
1,23,10000911,20210906,5,299.95
1,23,10001049,20210906,7,28.91
1,23,10002218,20210906,5,21.4
1,23,10003450,20210906,1,19.95
1,34,10002853,20230926,1,6.3
1,34,10004223,20230926,5,474.95
1,61,10004000,20210517,6,239.88
1,61,10004339,20210517,3,438.15
1,61,10004342,20210517,7,37.66
1,188,10002843,20230824,5,77.55
1,244,10002841,20200429,2,116.44
1,302,10000517,20240202,5,254.9
1,384,10000521,20200902,1,89.83
1,384,10000548,20200902,4,13.96
1,384,10000650,20200902,1,119.99
1,384,10004150,20200902,1,13.43
1,421,10002283,20240413,4,476.0
1,421,10002731,20240413,3,44.67
1,421,10003839,20240413,1,4.95
1,436,10001501,20240624,2,9.82
1,436,10002745,20240624,1,2.66
1,436,10004048,20240624,3,164.22
1,629,10003242,20240320,4,11.76
2,55,10000877,20210723,6,71.94
2,55,10001735,20210723,7,11.76
2,55,10003385,20210723,5,854.9
2,55,10003805,20210723,5,2249.95
2,55,10004245,20210723,5,454.9
2,108,10000253,20200311,2,8.76
2,108,10000343,20200311,5,6804.95
2,108,10001100,20240604,7,80.36
2,108,10001811,20200311,5,2754.9
2,108,10001841,20200311,2,101.96
2,108,10002770,20240604,1,19.31
2,108,10003993,20240604,3,44.04
2,108,10004914,20200311,4,25.92
2,123,10000167,20220222,2,119.98
2,123,10000882,20220222,2,52.96
2,123,10004430,20220222,7,384.72
2,140,10001917,20200717,6,94.2
2,140,10002474,20200717,1,349.45
2,140,10004020,20200717,4,25.92
2,156,10001200,20200415,5,454.9
2,156,10004424,20200415,6,51.72
2,275,10000376,20200722,3,21.9
2,280,10000007,20210414,7,1322.93
2,280,10000029,20210414,6,310.5
2,291,10000974,20200326,5,131.9
2,291,10002920,20200326,3,10499.97
2,291,10004292,20200326,2,2599.98
2,300,10000342,20230127,1,3.81
2,300,10002460,20230127,7,160.86
2,300,10003082,20230127,6,122.04
2,300,10003896,20230127,7,15.96
2,352,10000400,20230225,5,99.9
2,352,10000510,20230225,2,476.8
2,352,10000743,20230225,2,18.28
2,352,10003738,20230225,7,35.56
2,352,10004021,20230225,5,49.95
2,367,10003073,20210409,6,57.6
2,367,10004363,20210409,4,203.88
2,375,10001964,20200514,1,13.98
2,375,10002034,20200514,3,106.53
2,375,10003518,20200514,2,6.68
2,375,10004598,20200514,1,11.33
2,435,10000794,20210428,1,51.94
2,435,10001232,20210428,2,521.96
2,435,10003902,20210428,2,251.98
2,435,10004040,20210428,5,67.9
2,435,10004275,20210428,7,22.96
2,441,10000366,20200813,3,29.79
2,441,10003842,20200813,1,39.89
2,561,10001899,20200706,3,92.94
2,561,10004382,20200706,2,1361.8
3,157,10000672,20201012,4,48.88
3,157,10004207,20201012,6,38.88
3,157,10004217,20201012,3,92.94
3,157,10004537,20201012,7,25.06
3,157,10004857,20201012,2,665.9
3,278,10000972,20220728,3,14.94
3,278,10003430,20220728,5,72.95
3,278,10003765,20220728,4,1048.44
3,278,10004054,20220728,5,152.8
3,296,10002696,20200912,2,221.96
3,296,10003700,20200912,8,2087.84
3,349,10001017,20210323,1,3.15
3,349,10001145,20210323,5,34.7
3,349,10001261,20210323,6,183.18
3,349,10001788,20210323,6,121.62
3,349,10004237,20210323,5,1474.75
3,470,10001252,20201221,4,107.84
3,492,10002787,20200429,5,629.95
3,492,10003057,20200429,3,146.73
3,492,10004845,20200429,7,103.6
3,493,10001698,20230424,3,119.97
3,493,10001799,20230424,7,30.66
3,493,10004506,20230424,1,3.98
3,531,10001545,20200912,4,719.96
3,531,10002929,20200912,7,85.96
3,531,10003288,20200912,5,704.9
3,531,10004216,20200912,1,95.46
3,620,10002957,20231229,7,61.11
3,620,10003127,20231229,6,45.84
3,620,10004645,20231229,5,36.75
3,630,10004464,20221218,7,125.93
3,630,10004505,20221218,2,839.98
4,4,10001883,20201015,2,52.98
4,4,10001998,20201015,1,15.93
4,4,10002338,20201015,6,485.88
4,4,10002550,20201015,2,14.56
4,4,10004394,20201015,7,102.06
4,8,10000338,20240818,4,49.12
4,8,10001796,20240818,1,25.13
4,8,10002575,20240818,3,32.94
4,8,10004145,20240818,6,18.72
4,107,10001641,20241124,5,69.5
4,107,10001987,20241124,4,327.96
4,107,10002199,20241124,6,64.08
4,107,10003661,20241124,1,29.98
4,107,10004060,20241124,7,559.93
4,225,10000396,20210716,5,15.75
4,225,10000965,20210716,2,24.56
4,225,10001532,20210716,2,141.78
4,225,10002664,20210716,1,212.6
4,230,10001894,20221224,6,19.74
4,259,10000543,20221217,3,467.97
4,259,10002621,20221217,7,391.86
4,259,10004057,20221217,4,195.64
4,259,10004058,20221217,1,122.99
4,303,10001140,20221210,6,629.1
4,303,10001869,20221210,3,512.94
4,303,10002973,20221210,3,567.0
4,303,10003579,20221210,3,18.72
4,303,10004096,20221210,5,86.5
4,405,10000302,20200109,3,14.19
4,405,10001495,20200109,5,146.45
4,405,10002729,20200109,6,8.88
4,405,10002904,20200109,3,19.44
4,460,10004778,20210512,1,217.85
4,522,10000232,20241225,5,32.4
4,522,10000426,20241225,2,129.96
4,522,10001626,20241225,2,11.96
4,522,10003794,20241225,5,53.0
4,522,10004836,20241225,6,1805.88
5,16,10000759,20230211,7,35.0
5,59,10000712,20240619,6,646.74
5,59,10003717,20240619,3,14.94
5,112,10001796,20240227,5,125.65
5,112,10004480,20240227,4,59.36
5,117,10000069,20241214,1,5.77
5,117,10000597,20241214,1,3.81
5,117,10003183,20241214,2,487.96
5,117,10003614,20241214,7,118.86
5,139,10002974,20230520,6,179.94
5,139,10003757,20230520,5,25.9
5,151,10001392,20220414,7,46.83
5,151,10002051,20220414,1,5.08
5,151,10002948,20220414,7,138.81
5,151,10004636,20220414,6,291.48
5,151,10004938,20220414,3,62.82
