,sales_id,customer_id,order_date,ship_date,ship_mode,ship_to,total
0,8723,4,2020-01-09,2020-01-12,Second Class,405,188.96
1,9581,12,2020-01-20,2020-01-27,Standard Class,46,714.36
2,8269,14,2020-01-21,2020-01-21,Same Day,522,56.22
3,53,22,2020-02-14,2020-02-19,Standard Class,371,141.8
4,2360,36,2020-02-27,2020-03-04,Standard Class,178,138.75
5,5119,42,2020-03-04,2020-03-11,Standard Class,393,300.46
6,3112,2,2020-03-11,2020-03-11,Same Day,108,9696.49
7,6538,18,2020-03-14,2020-03-14,Same Day,555,1523.95
8,621,31,2020-03-18,2020-03-20,First Class,14,594.8
9,9428,29,2020-03-20,2020-03-24,Second Class,325,526.71
10,419,14,2020-03-21,2020-03-26,Standard Class,256,132.26
11,3091,59,2020-03-26,2020-03-29,Second Class,302,2681.89
12,1360,41,2020-03-26,2020-03-27,First Class,211,590.03
13,5729,2,2020-03-26,2020-03-31,Standard Class,291,13231.85
14,8559,51,2020-03-30,2020-03-30,Same Day,545,634.82
15,1016,43,2020-03-30,2020-04-02,Second Class,487,713.51
16,6167,20,2020-04-08,2020-04-13,Standard Class,402,771.57
17,2043,46,2020-04-09,2020-04-14,Standard Class,453,56.42
18,5669,25,2020-04-12,2020-04-17,Standard Class,251,1800.57
19,9480,26,2020-04-12,2020-04-18,Standard Class,50,95.8
20,9304,46,2020-04-14,2020-04-14,Same Day,134,1403.89
21,9335,2,2020-04-15,2020-04-17,First Class,156,506.62
22,9697,51,2020-04-16,2020-04-17,First Class,295,130.2
23,3011,19,2020-04-18,2020-04-25,Standard Class,500,140.86
24,3603,11,2020-04-19,2020-04-21,First Class,362,420.51
25,6141,72,2020-04-20,2020-04-21,First Class,368,699.93
26,4693,77,2020-04-20,2020-04-25,Standard Class,269,533.71
27,4083,23,2020-04-21,2020-04-27,Standard Class,590,292.5
28,1409,34,2020-04-22,2020-04-27,Standard Class,597,244.93
29,141,37,2020-04-24,2020-04-28,Second Class,544,2758.34
30,3982,34,2020-04-24,2020-04-26,First Class,611,351.98
31,1466,56,2020-04-25,2020-04-25,Same Day,218,822.04
32,6580,76,2020-04-25,2020-04-25,Same Day,578,2322.61
33,5841,27,2020-04-26,2020-04-29,Second Class,93,66.48
34,6674,14,2020-04-26,2020-05-02,Standard Class,13,354.88
35,5357,76,2020-04-27,2020-05-02,Standard Class,509,5.4
36,8317,11,2020-04-27,2020-05-03,Standard Class,625,3340.11
37,6800,52,2020-04-27,2020-04-29,First Class,425,1173.41
38,8132,35,2020-04-28,2020-05-03,Standard Class,310,1180.7
39,1901,21,2020-04-28,2020-05-01,Second Class,449,32.4
40,1847,3,2020-04-29,2020-04-29,Same Day,492,880.28
41,8077,69,2020-04-29,2020-05-05,Standard Class,200,342.5
42,9786,33,2020-04-29,2020-05-05,Standard Class,106,2584.41
43,6365,1,2020-04-29,2020-04-29,Same Day,244,116.44
44,760,30,2020-04-30,2020-05-03,Second Class,415,20.28
45,9479,81,2020-05-08,2020-05-08,Same Day,535,2067.55
46,3911,40,2020-05-08,2020-05-14,Standard Class,45,102.06
47,7387,84,2020-05-12,2020-05-12,Same Day,407,1188.44
48,2000,46,2020-05-12,2020-05-13,First Class,256,1452.34
49,3991,2,2020-05-14,2020-05-17,Second Class,375,138.52
50,7686,8,2020-05-15,2020-05-19,Second Class,219,60.74
51,5114,28,2020-05-15,2020-05-17,First Class,389,1212.42
52,3066,28,2020-05-17,2020-05-18,First Class,174,989.64
53,1778,75,2020-05-18,2020-05-20,First Class,262,636.26
54,5553,61,2020-05-20,2020-05-20,Same Day,198,442.94
55,9532,30,2020-05-20,2020-05-24,Second Class,280,2.88
56,3724,75,2020-05-21,2020-05-25,Second Class,139,79.32
57,8144,96,2020-05-21,2020-05-21,Same Day,625,323.5
58,4994,9,2020-05-21,2020-05-21,Same Day,172,7353.77
59,6213,90,2020-05-22,2020-05-26,Second Class,458,1925.24
60,9549,80,2020-05-22,2020-05-24,First Class,511,1969.91
61,5605,68,2020-05-24,2020-05-30,Standard Class,566,44.56
62,6927,101,2020-05-25,2020-05-25,Same Day,28,20.58
63,9078,58,2020-05-25,2020-05-27,First Class,291,889.66
64,3900,54,2020-05-25,2020-05-25,Same Day,272,878.04
65,4606,83,2020-05-26,2020-06-01,Standard Class,519,2142.12
66,3170,96,2020-05-26,2020-05-31,Standard Class,537,682.88
67,4002,99,2020-05-27,2020-05-29,First Class,148,373.91
68,4392,32,2020-05-28,2020-05-28,Same Day,170,43.88
69,3890,78,2020-05-29,2020-06-03,Standard Class,12,888.66
70,1228,70,2020-05-30,2020-06-05,Standard Class,493,281.33
71,9594,93,2020-05-30,2020-06-04,Standard Class,203,1211.0
72,4326,50,2020-05-30,2020-06-02,Second Class,231,266.16
73,4983,50,2020-05-30,2020-06-02,Second Class,458,1180.52
74,4425,23,2020-05-30,2020-06-04,Standard Class,62,3587.96
75,6646,86,2020-06-06,2020-06-06,Same Day,179,736.42
76,7273,45,2020-06-06,2020-06-08,First Class,557,663.18
77,240,102,2020-06-07,2020-06-08,First Class,437,2214.71
78,5994,62,2020-06-08,2020-06-12,Second Class,280,18.9
79,6034,87,2020-06-09,2020-06-10,First Class,74,3.98
80,7260,112,2020-06-10,2020-06-12,First Class,402,389.97
81,6147,63,2020-06-13,2020-06-20,Standard Class,572,634.51
82,7142,85,2020-06-13,2020-06-16,Second Class,406,163.14
83,3117,85,2020-06-13,2020-06-14,First Class,169,52.79
84,310,108,2020-06-15,2020-06-19,Second Class,363,1327.48
85,7414,106,2020-06-16,2020-06-16,Same Day,562,198.42
86,7328,87,2020-06-20,2020-06-27,Standard Class,371,163.92
87,169,77,2020-06-22,2020-06-26,Second Class,485,932.29
88,9436,118,2020-06-22,2020-06-26,Second Class,466,368.87
89,6374,97,2020-06-22,2020-06-23,First Class,535,59.1
90,5185,111,2020-06-24,2020-06-28,Second Class,602,963.5
91,2286,80,2020-06-25,2020-07-01,Standard Class,512,30.84
92,3696,40,2020-06-25,2020-06-26,First Class,568,55.95
93,5476,101,2020-06-25,2020-06-30,Standard Class,323,419.06
94,1297,117,2020-06-26,2020-06-26,Same Day,433,3640.59
95,9017,101,2020-06-26,2020-06-28,First Class,474,3181.84
96,7705,6,2020-06-26,2020-06-26,Same Day,413,278.94
97,8663,35,2020-06-29,2020-07-03,Second Class,203,137.06
98,8117,100,2020-06-29,2020-06-29,Same Day,312,2979.58
99,1624,66,2020-06-30,2020-06-30,Same Day,140,494.12
100,1326,36,2020-06-30,2020-07-02,First Class,119,108.81
101,9774,80,2020-06-30,2020-07-04,Second Class,71,538.02
102,2297,115,2020-06-30,2020-07-07,Standard Class,626,30.44
103,519,122,2020-07-05,2020-07-07,First Class,293,349.63
104,1258,83,2020-07-05,2020-07-10,Standard Class,568,1688.68
105,7307,84,2020-07-05,2020-07-07,First Class,142,369.25
106,4165,2,2020-07-06,2020-07-07,First Class,561,1454.74
107,8766,44,2020-07-07,2020-07-08,First Class,18,366.48
108,2946,102,2020-07-08,2020-07-12,Second Class,429,464.33
109,4589,39,2020-07-10,2020-07-16,Standard Class,583,5.58
110,2537,17,2020-07-11,2020-07-17,Standard Class,357,1149.91
111,2838,64,2020-07-11,2020-07-11,Same Day,474,1341.75
112,9265,124,2020-07-11,2020-07-12,First Class,295,358.28
113,3785,42,2020-07-11,2020-07-18,Standard Class,343,323.41
114,750,115,2020-07-12,2020-07-18,Standard Class,397,127.05
115,1415,17,2020-07-15,2020-07-22,Standard Class,367,1176.04
116,7162,105,2020-07-16,2020-07-20,Second Class,181,2068.46
117,8327,2,2020-07-17,2020-07-19,First Class,140,469.57
118,2377,105,2020-07-18,2020-07-20,First Class,221,90.01
119,1635,104,2020-07-19,2020-07-25,Standard Class,76,484.06
120,4511,76,2020-07-20,2020-07-20,Same Day,172,1082.23
121,3148,69,2020-07-21,2020-07-22,First Class,467,22.05
122,8946,50,2020-07-21,2020-07-21,Same Day,247,1199.32
123,757,49,2020-07-21,2020-07-21,Same Day,125,1723.25
124,6767,100,2020-07-21,2020-07-23,First Class,616,7.2
125,7365,2,2020-07-22,2020-07-22,Same Day,275,21.9
126,2569,20,2020-07-23,2020-07-30,Standard Class,526,1452.29
127,6516,15,2020-07-23,2020-07-23,Same Day,124,88.14
128,9035,108,2020-07-23,2020-07-23,Same Day,623,29.96
129,6110,61,2020-07-23,2020-07-24,First Class,426,94.18
130,7698,77,2020-07-24,2020-07-29,Standard Class,191,749.5
131,4823,68,2020-07-24,2020-07-26,First Class,528,506.59
